               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.019601,              0.0209,           0.0012938,             0.97858,             0.99231,             0.99439,             0.80488,            0.014168,            0.012836,          0.00088091,            0.003763,            0.003763,            0.003763
                 128,            0.019203,            0.019836,           0.0011754,             0.97887,             0.99236,             0.99466,             0.81246,            0.014152,            0.012462,          0.00085351,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019907,            0.021533,           0.0015627,             0.98248,             0.99337,             0.99478,             0.80323,            0.014282,            0.012601,          0.00085058,            0.003664,            0.003664,            0.003664
                 130,             0.01883,             0.01988,           0.0010968,             0.98284,              0.9867,             0.99472,             0.81522,            0.013905,            0.012639,          0.00082558,           0.0036145,           0.0036145,           0.0036145
                 131,             0.01822,            0.020552,           0.0012009,             0.98576,             0.98299,             0.99423,             0.80695,            0.014365,            0.012526,          0.00081171,            0.003565,            0.003565,            0.003565
                 132,            0.018156,            0.021441,           0.0010493,             0.98173,             0.98846,              0.9942,             0.81794,            0.013778,            0.012603,          0.00081146,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018941,            0.019978,           0.0012852,             0.98222,             0.99359,             0.99449,             0.80948,            0.014237,            0.012309,          0.00079325,            0.003466,            0.003466,            0.003466
                 134,            0.019187,            0.021177,            0.001337,             0.97924,             0.99089,             0.99459,             0.82413,            0.012958,             0.01214,          0.00078367,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017887,            0.019634,           0.0011423,              0.9791,             0.99188,             0.99473,             0.81716,            0.013269,            0.012126,          0.00077316,            0.003367,            0.003367,            0.003367
                 136,            0.017752,            0.019914,           0.0010147,             0.98136,             0.99359,             0.99475,             0.82681,            0.013038,            0.012109,          0.00076184,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018314,            0.020571,           0.0010307,             0.97466,             0.99231,             0.99459,              0.8176,            0.012949,            0.011805,          0.00074551,            0.003268,            0.003268,            0.003268
                 138,            0.017778,            0.019842,           0.0010515,             0.97391,             0.99233,             0.99473,             0.82539,            0.013343,            0.011985,          0.00072833,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017915,             0.01906,          0.00097283,             0.97453,             0.99265,             0.99448,             0.80843,            0.014034,            0.012016,          0.00071865,            0.003169,            0.003169,            0.003169
                 140,            0.017589,            0.021327,            0.001028,             0.97126,             0.99122,             0.99477,             0.81486,            0.013283,             0.01212,          0.00070796,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017856,            0.018685,          0.00087148,             0.97023,             0.99744,             0.99473,              0.8188,            0.013378,            0.011925,          0.00070054,             0.00307,             0.00307,             0.00307
                 142,             0.01811,            0.020202,           0.0011668,             0.97352,             0.99689,              0.9947,              0.8174,            0.013221,            0.011832,          0.00069977,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016986,            0.019751,           0.0011662,             0.97777,             0.99065,             0.99488,             0.82689,            0.012782,            0.011497,          0.00069476,            0.002971,            0.002971,            0.002971
                 144,            0.017271,            0.018305,           0.0010519,             0.97172,             0.99657,             0.99496,             0.82233,            0.012684,            0.011309,          0.00068792,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016966,            0.018478,          0.00093151,             0.97646,             0.99554,             0.99496,             0.81843,            0.013523,            0.011785,          0.00066952,            0.002872,            0.002872,            0.002872
                 146,            0.017242,             0.01988,           0.0010249,             0.97954,             0.99744,             0.99499,             0.81295,            0.013261,            0.011779,          0.00065814,           0.0028225,           0.0028225,           0.0028225
                 147,               0.017,            0.018603,          0.00092691,             0.98275,             0.99696,               0.995,             0.83016,            0.012561,            0.011457,          0.00066281,            0.002773,            0.002773,            0.002773
                 148,            0.016442,            0.019312,             0.00107,             0.98586,             0.99577,             0.99496,              0.8138,            0.012675,            0.011212,          0.00065289,           0.0027235,           0.0027235,           0.0027235
                 149,            0.016837,            0.019725,           0.0011075,             0.98092,             0.99453,             0.99496,             0.83264,            0.012526,            0.011307,          0.00063981,            0.002674,            0.002674,            0.002674
                 150,            0.016196,             0.01951,          0.00086784,             0.97848,             0.99557,             0.99499,             0.83831,             0.01212,             0.01136,          0.00063372,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016673,            0.018164,          0.00095113,             0.97687,             0.99603,             0.99497,              0.8485,            0.011816,            0.011384,          0.00061176,            0.002575,            0.002575,            0.002575
                 152,             0.01655,            0.019576,          0.00098332,             0.97864,              0.9946,             0.99487,             0.83023,            0.012241,            0.011621,           0.0006112,           0.0025255,           0.0025255,           0.0025255
                 153,            0.015989,            0.019573,          0.00096686,             0.97853,             0.99744,              0.9948,             0.83662,            0.011826,            0.011534,          0.00060537,            0.002476,            0.002476,            0.002476
                 154,            0.016059,            0.017892,          0.00086717,             0.98024,             0.99744,             0.99491,             0.83129,            0.012158,             0.01148,          0.00058587,           0.0024265,           0.0024265,           0.0024265
